"rotulo","provincia","direccion"
"BP","SEVILLA","AVENIDA ATENAS DE, 129"
"VIVA LEBRIJA","SEVILLA","AVENIDA JUAN PEÑA EL LEBRIJANO, 60"
"PLENOIL","SEVILLA","AVENIDA JOSE MARIA TOMASSETTI, 5"
"MEROIL","SEVILLA","AVDA. DE LA CAMPANA, S/N (C-432 LLERENA-UTRERA km 103,8)"
"SAN SEBASTIAN","SEVILLA","CARRETERA ALCOLEA KM. 1"
"LOW COST LA MOVIL","SEVILLA","POLIGONO POLIGONO INDUSTRIAL MATALLANA C/ CARRETERIA, 3"
"BP EL ALAMO","SEVILLA","CARRETERA CARRETERA LORA DEL RIO - CARMONA, KM 2,5 KM. 2,5"
"PETROPLUS","SEVILLA","CALLE MADRID, 24"
"ALCOROIL S.L.","SEVILLA","POLIGONO CANTOSALES, 2"
"GACOSUR MAIRENA","SEVILLA","CARRETERA A392 KM. 19,500"
"PETROPRIX","SEVILLA","CALLE LONJA, 28"
"REPSOL","SEVILLA","AVENIDA CUBA, S/N"
"REPSOL","SEVILLA","CR A92 km 62,2"
"REPSOL","SEVILLA","CR A-92 km 62,2"
"PETROBIKE","SEVILLA","TRAVESÍA SAN IGNACIO, 1"
"MAXOIL","SEVILLA","CALLE MORONITA, 6"
"CAPYCRU","SEVILLA","AVENIDA DEL PILAR, 9"
"PLENOIL","SEVILLA","CALLE LOS TRIGALES, 47"
"EL OLIVO","SEVILLA","CARRETERA SE-510 KM. 10,850"
"SHELL","SEVILLA","AUTOVIA A-92 KM. 89"
"VOLAROIL","SEVILLA","CALLE SOR ANGELA DE LA CRUZ, 85"
"BALLENOIL","SEVILLA","CALLE PROGRESO, 1"
"SHELL","SEVILLA","AVDA. PARQUE NORTE S/N"
"BP","SEVILLA","AVENIDA UTRERA, SN"
"NO TIENE ROTULO","SEVILLA","CALLE HERMANDAD, S/N"
"Q8","SEVILLA","CARRETERA CARRETERA A 8058 KM. 6,7"
"AGLA","SEVILLA","POLIGONO LOS ALBEROS VIAL 1, 21"
"COOPERATIVA AGRICOLA DE PARADAS, S.C.A.","SEVILLA","CALLE EXTRAMUROS GANIVET, S/N"
"SHELL","SEVILLA","CARRETERA A-92 KM. 45"
"SHELL","SEVILLA","CARRETERA A-92 KM. 45"
"COOPERATIVA OLIVARERA DE PEDRERA, SCA","SEVILLA","CL MUELLE S/N"
"REPSOL","SEVILLA","CARRETERA CTRA. C-431, KM. 62.8 KM. 62,8"
"BALLENOIL","SEVILLA","AVENIDA ALJARAFE (EL), 80"
"CEPSA","SEVILLA","CARRETERA SE-631 KM. 3,900"
"OLEAND, S.COOP.AND","SEVILLA","CARRETERA SEVILLA-MALAGA KM. 68"
"COOPERATIVA AGRARIA OLEAND S. COOP. AND.","SEVILLA","AUTOVÍA A-92 km 66"
"CEPSA","SEVILLA","CTRA. CONSTANTINA ,S/N km 27,7"
"CEPSA-ARROCEROS B.G.","SEVILLA","FINCA EL REBOSO S/N. (LOS PALACIOS-PINZON km 15)"
"A&B","SEVILLA","CALLE CARRIZALES, 2"
"E.S. LA CATRIA","SEVILLA","CARRETERA SEVILLA-CAZALLA KM. 6,100"
"BALLENOIL","SEVILLA","CALLE MIGUEL SERVET, 2"
"GACOSUR RINCONADA","SEVILLA","AVENIDA BOYEROS, 14"
"CEPSA","SEVILLA","CTRA. DE PEDRERA km 2"
"MALPESA","SEVILLA","AVENIDA INDUSTRIA DE LA, 1"
"AGLA","SEVILLA","SE-510 km 6,5"
"TJ OIL","SEVILLA","CALLE CASTILLA LA MANCHA, 181"
"BP CROSS","SEVILLA","POLIGONO ALAVERA PARCELA 6.1,"
"SHELL","SEVILLA","CARRETERA SE-640 KM. 0,750"
"CARREFOUR","SEVILLA","CARRETERA SAN JUAN DE AZNALFARACHE KM. 1"
"CAMPSA","SEVILLA","CALLE CRISTOBAL COLON, 49"
"BP SANTIPONCE","SEVILLA","CARRETERA N-630 KM. 808,40"
"SCA NTRA. SRA. DEL ROSARIO","SEVILLA","CALLE FRAY ANTONIO, 51"
"REPSOL","SEVILLA","CALLE TORNEO, 70"
"CEPSA","SEVILLA","CARRERA DE LA ESCLUSA, 10 (PUERTO OESTE),"
"REPSOL","SEVILLA","RONDA RONDA DE CAPUCHINOS, 1"
"BP SAN LAZARO","SEVILLA","AVDA. DOCTOR FEDRIANI, 40 (BARRIADA BACHILLERA)"
"CARREFOUR","SEVILLA","CALLE SIERRA PARQUE SIERRA CASTRIL, S/N"
"CEPSA","SEVILLA","POLIGONO STORE - SE-30"
"CEPSA","SEVILLA","CALLE GRAMIL, SN"
"REPSOL","SEVILLA","CARRETERA SE-30 (CRTRA. VALDEZORRAS) KM. 0,1"
"Q8","SEVILLA","CALLE ESTRELLA VEGA, 20"
"REPSOL","SEVILLA","CARRETERA SEVILLA- BRENES S/N PLAN API - DMN - 04 KM. S/N"
"SENDA","SEVILLA","CARRETERA SE-111 KM. 1,7"
"REPSOL NUEVO TORNEO","SEVILLA","AVENIDA SAN JERONIMO, S/N"
"MOOVE","SEVILLA","CALLE ASTRONOMIA, 3"
"CARREFOUR","SEVILLA","AUTOVIA DE SAN PABLO KM. 535,6"
"SHELL","SEVILLA","AVENIDA ALCALDE LUIS URUÑUELA, S/N"
"SHELL","SEVILLA","N-IV km 531.75"
"CEPSA","SEVILLA","CALLE MARTILLO, 18"
"CEPSA","SEVILLA","POLIGONO INDUSTRIAL LA NEGRILLA, PERITO, 6 -  PARC"
"GALP","SEVILLA","AVENIDA ANDALUCIA, 44"
"SHELL","SEVILLA","AVDA. DE LA PAZ, ESQ SU EMINENCIA"
"BP SU EMINENCIA","SEVILLA","CTRA. DE SU EMINENCIA S/N"
"ALCAMPO S.A.","SEVILLA","CALLE RONDA DEL TAMARGUILLO, S/N"
"GALP","SEVILLA","CALLE ANTONIO PEÑA Y LOPEZ, 5"
"REPSOL","SEVILLA","CR N-4, 537,6"
"CIBUS HISPANIA SEVILLA ESTE","SEVILLA","AVDA. MONTESIERRA, 7"
"NATURGY","SEVILLA","AVENIDA ANDALUCIA, 11"
"Q8 EASY","SEVILLA","AVENIDA DE LA PRENSA, 1"
"REPSOL PICA","SEVILLA","PLAZA CARLOS FRANCO PINEDA, S/N"
"Q8","SEVILLA","CALLE FRANCISCO BUENDÍA, 2"
"REPSOL","SEVILLA","N-4 km 548"
"PETROPRIX","SEVILLA","CALLE PARSI 7, 7"
"GACOSUR PARSI","SEVILLA","CALLE PARSI 6, 42"
"TAMOIL","SEVILLA","CALLE PINO CENTRAL, 14"
"BALLENOIL","SEVILLA","CALLE GRANITO, 1"
"GALP","SEVILLA","AVENIDA MOLINI, 3"
"REPSOL","SEVILLA","CR N-4, 544"
"REPSOL","SEVILLA","AVENIDA RAZA (LA), 66"
"PLENOIL","SEVILLA","AVENIDA JEREZ, 23"
"PETROPRIX","SEVILLA","AVENIDA JEREZ, 43"
"PETROAMARILLA","SEVILLA","AVENIDA PRENSA (LA), 30"
"PERTROPRIX","SEVILLA","CALLE METALURGIA, S/N"
"BP","SEVILLA","SE-30 RONDA URBANA NORTE POL. IND. CALONGE"
"RED CAR OIL","SEVILLA","CALLE JOVELLANOS, 10"
"BALLENOIL","SEVILLA","CALLE SAN ROQUE, 54"
"KARLAVADO.COM","SEVILLA","CALLE CASTAÑEDA, S/N"
"REDCAROIL","SEVILLA","CALLE CAVADORES, 2"
"GACOSUR EL TORNO","SEVILLA","POLG. IND. EL TORNO , RONDA DE LOS TORNEROS 12"
"PETROUYA","SEVILLA","CARRETERA UTRERA SEVILLA KM. 1"
"GALP","SEVILLA","AVENIDA SAN JUAN BOSCO, 94"
"TAMOIL","SEVILLA","CARRETERA A-394 KM. 16"
"E.S. MARIA AUXILIADORA","SEVILLA","CARRETERA EXTREMADURA (N-630) KM. 809"
"REPSOL","SEVILLA","AVENIDA DOLMENES DE VALENCINA, 6"
"SAN JUAN BAUTISTA S COOP AND","SEVILLA","CARRETERA EL SAUCEJO KM. 0,5"
"SENDA","SEVILLA","AVENIDA CONSTITUCION, 68"
"GALP","SEVILLA","POLIGONO INDUSTRIAL POLIVISO PARCELA 2-3"
"BALLENOIL","SEVILLA","AVENIDA DEL COMERCIO, 77"
"EL MAYORIA COMBUSTIBLES","SORIA","POL. INDUSTRIAL LA DEHESA S/N"
"UNION COMARCAL AGREDANA.S.C.L","SORIA","CARRETERA DEVANOS KM. 0,500"
"GAMAR","SORIA","CALLE HAYA,"
"ORUCA","SORIA","AVENIDA SORIA, 40"
"GALP","SORIA","CARRETERA CTRA. N-II 167,2 KM. 167,2"
"ALCAMPO","SORIA","ZONA CENTRO COMERCIAL LAS CAMARETAS CALLE A, SN"
"REPSOL","SORIA","N-2 km 150"
"SIN DETERMINAR","SORIA","AVENIDA VALLADOLID, 13"
"CEPSA","SORIA","AVENIDA VALLADOLID, S/N (N-122 KM 155,4)"
"COPISO","SORIA","POLIGONO VALCORBA PARC Nº 52, SUR D-13, 52"
"PETROPRIX","SORIA","AVENIDA VALLADOLID  EN  SORIA, 62"
"EUREKA","SORIA","POLIGONO LAS CASAS CALLE G PARCELA 7, 7"
"ENI","TARRAGONA","AUTOPISTA AP-7 (MRG.DCHO.) KM. 317"
"ENI","TARRAGONA","AUTOPISTA AP-7 (MRG.IZDO.) KM. 317"
"CEPSA","TARRAGONA","CARRETERA E-15/AP-7 KM. 237"
"CEPSA","TARRAGONA","AUTOPISTA AP 7 KM. 237"
"GALP","TARRAGONA","CARRETERA N-340 KM. 1101"
"PETROCAT DIRECTE","TARRAGONA","CARRETERA N-340 KM. 1093,5"
"BONAREA","TARRAGONA","AVENIDA DE LA RAPITA, 226"
"Q8","TARRAGONA","SAN CRISTOBAL S/N,"
"TAMOIL","TARRAGONA","CARRETERA TP-2124 KM. 1,6"
"REPSOL","TARRAGONA","AUTOPISTA AP7 KM. 208"
"TAMOIL","TARRAGONA","CARRETERA CTRA. C-12 L'EIX DE L'EBRE KM. 36,7"
"COOP AGRICOLA DE BOT","TARRAGONA","CALLE BASCULA, 2"
"VILALTA","TARRAGONA","CARRER DE SANT ISIDRE, 6"
"GALP","TARRAGONA","N-340 km 1089,800"
"ARROSSAIRES","TARRAGONA","CARRETERA LLIGALLO A CAMARLES KM. 1"
"AREA CAMBRILS COOPERATIVA","TARRAGONA","CARRETERA MONTBRIO T-3120 KM. 2"
"REPSOL","TARRAGONA","AUTOVIA A 7 KM. 1148"
"BONAREA","TARRAGONA","CALLE FUSTERIES, S/N"
"ALAS","TARRAGONA","POLIGONO CONSTANTI - AVD.EUROPA, 5"
"TRADILO INVERSIONES","TARRAGONA","CALLE ALEMANIA, 9"
"DPC OIL","TARRAGONA","AVENIDA LLIBERTAT, S/N"
"BONAREA","TARRAGONA","AVENIDA GOLES DE L'EBRE, 7"
"ARROSSAIRES","TARRAGONA","CARRETERA CAMARLES A DELTEBRE KM. 6,5"
"ESCLATOIL","TARRAGONA","AVENIDA GENERALITAT, S/N"
"ARROSSAIRES","TARRAGONA","CARRETERA DEL FARO DE BUDA T-340 KM. 8"
"BONAREA","TARRAGONA","POLIGONO LES ERES, 7"
"BONAREA","TARRAGONA","CARRETERA C-12 ENCREUAMENT C-233 KM. 1"
"GALP","TARRAGONA","CARRETERA TP 3311 KM. 3,1"
"COOP. LA GALERA","TARRAGONA","CALLE COOPERATIVA, 12"
"LA BOTIGA DEL SINDICAT","TARRAGONA","CALLE AFORES, S/N"
"COOP. AGRICOLA SANT ISIDRE","TARRAGONA","CTRA. TORTOSA, 5"
"PETRO7 - PETROLIS INDEPENDENTS","TARRAGONA","N-240 km 38,8"
"CEPSA","TARRAGONA","AUTOPISTA AP-2 (MRG.DCHO.) KM. 196"
"CEPSA","TARRAGONA","AUTOPISTA AP-2 (MRG.IZDO.) KM. 196"
"BONAREA","TARRAGONA","POLIGONO PLANS DE JORI, CTRA LLEIDA, 4"
"GALP","TARRAGONA","AVDA.DE REUS ESQUINA C/.KLAUS FISCHER, 2 (A.REUS ESQ.C/.KLAUS FISCHER,2)"
"BONAREA","TARRAGONA","POLIGONO CAMINS NOUS, 1"
"ESCLATOIL","TARRAGONA","POLIGONO AUBALS, 3"
"CATERRA","TARRAGONA","CALLE GLORIETA, S/N"
"PETROLOWCOST","TARRAGONA","CALLE EIVISSA (D'), 1"
"VILALTA","TARRAGONA","CALLE PINTOR FUSTER, 3"
"ALCAMPO","TARRAGONA","CALLE PARE MANYANET, S/N"
"ALAS","TARRAGONA","AVENIDA SANT BERNAT CALBO, 16"
"CEPSA","TARRAGONA","CARRER TARRAGONA, CAMI DE, 55"
"GMOIL","TARRAGONA","CALLE BELGICA, 9,11"
"CEPSA","TARRAGONA","AUTOPISTA AUTOPISTA A-7 KM. 1156"
"ESCLATOIL","TARRAGONA","CALLE ARGENTINA, 13"
"ENTREAUTO","TARRAGONA","APEL·LES MESTRES 44-46"
"BONAREA","TARRAGONA","CARRETERA RIUDOMS KM. 2,2"
"ESCLATOIL","TARRAGONA","CARRER HISPANO SUIZA, 1"
"GALP&GO","TARRAGONA","POLIGONO LA RAVALETA, PARCELA, 1"
"ESCLATOIL","TARRAGONA","CALLE VICTORIA DELS ANGELS, 2"
"PETRORÀPITA","TARRAGONA","POLIGONO INDUSTRIAL EL RAJOLAR, PARCEL·LA, 25"
"GALP","TARRAGONA","CARRETERA N-340 KM. 1071"
"GALP","TARRAGONA","CTRA. N-340 km 1071,000"
"REPSOL","TARRAGONA","AU AP-7   OESTE, 208"
"CÀMARA ARROSSERA","TARRAGONA","CARRETERA DIPUTACION KM. 2,45"
"COPERAL","TARRAGONA","CARRETERA IGUALADA KM. S/N"
"COPERAL","TARRAGONA","CARRETERA C-241 KM. S/N"
"VINICOLA DE SARRAL, SCCL","TARRAGONA","AVINGUDA DE LA CONCA, 33"
"JOAN OILS","TARRAGONA","CARRER CERAMICA, 6"
"PETRONOR","TARRAGONA","CALLE TARRAGONA, 33"
"REPSOL","TARRAGONA","CALLE TORRES JORDI (DE), 1"
"TAMOIL","TARRAGONA","AUTOVIA AP-01 KM. 0,450"
"GM OIL","TARRAGONA","CARRETERA ANTIGUA DE VALENCIA 8 KM. 8"
"BIONET","TARRAGONA","POL. INDUSTRIAL RIU-CLAR, C/ SOFRE Nº 3"
"PETROCAT DIRECTE","TARRAGONA","CR AP-1, 0,3"
"BONAREA","TARRAGONA","POLIGONO INDUSTRIAL FRANCOLI, 4"
"BENZOIL","TARRAGONA","CALLE B-PP9, 2"
"EXOIL","TARRAGONA","CALLE MERCURI, 15,17"
"EXOIL","TARRAGONA","CALLE COURE DEL  EN  TORREFORTA, 9"
"BP","TARRAGONA","CALLE CTRA VELLA DE VALENCIA, 5"
"OIL PRIX","TARRAGONA","CALLE EIX TRANSVERSAL S/N, S/N"
"CARREFOUR","TARRAGONA","AUTOVIA DE REUS KM. 4"
"GALP","TARRAGONA","CARRETERA DE LA RIERA KM. 20"
"OILPRIX","TARRAGONA","CALLE RIERA DE GAIA (DE LA), 20"
"SOLDEBRE","TARRAGONA","CR RAVAL DE CRIST, S/N"
"TAMOIL","TARRAGONA","AVENIDA GENERALITAT (DE LA), 10"
"REPSOL","TARRAGONA","CL PZA. CORONA DE ARAGON, S.N."
"SUPECO","TARRAGONA","CARRETERA TORTOSA A LŽALDEA KM. 1"
"CAMPO","TARRAGONA","MAJOR,  183"
"ESCLATOIL","TARRAGONA","CALLE MAJOR, 212"
"BONAREA","TARRAGONA","POLIGONO IND. DE VALLS/CARRETERA DEL PLA, 180"
"ESCLATOIL","TARRAGONA","HIPER ESCLAT. ARTESANS,S/N POL.IND.VALLS"
"CEPSA","TARRAGONA","CALLE BLANQUERS, 51"
"ALAS","TARRAGONA","CR. CN-340 km 1121,8"
"ENI","TARRAGONA","AUTOPISTA AP-7 (MRG.IZDO.) KM. 283"
"ENI","TARRAGONA","AUTOPISTA AP-7 (MRG.DCHO.) KM. 283"
"BONAREA","TARRAGONA","POLIGONO LES TAPIES II, S/N"
"Q8","TARRAGONA","CARRETERA CTRA COMARCAL 246 KM."
"Q8","TARRAGONA","AVENIDA DE LA GENERALITAT, 22"
"GM FUEL STATIONS","TARRAGONA","CARRETERA NACIONAL 340 KM. 1187"
"COVILALBA","TARRAGONA","CALLE CERVANTES, 5"
"COPVILAR","TARRAGONA","CARRETERA TP-2003 KM. 0,110"
"MKT OIL","TARRAGONA","CARRER JOSEP CARNER, S/N"
"SEROIL ENERGY EXPRESS","TARRAGONA","CALLE VIA MAXIMA, 14"
"SHELL","TARRAGONA","CARRETERA N-340A KM. 1151"
"ALAS","TARRAGONA","CALLE FRANQUESES (DE LES), 12"
"ESCLATOIL","TARRAGONA","HIPER ESCLAT. CTRA. N-340 km 1.145"
"CEREALES TERUEL","TERUEL","C/ PILON DE LA CORRIDA"
"PETROTER","TERUEL","CARRETERA A223 KM. 33"
"ALCAMPO","TERUEL","CARRETERA ZARAGOZA KM. 117"
"NINGUNO","TERUEL","POL. IND. LAS HORCAS, PARC. 35"
"GBA","TERUEL","POLIGONO LAS HORCAS  FINCA 4 1/A-9, 4"
"COOPERATIVA SAN MIGUEL","TERUEL","CALLE VALMUEL, S/N"
"COOPERATIVA PUEYOS","TERUEL","ESCATRON"
"ALCORCÍ COOPERATIVA DE LABRADORES","TERUEL","PARAJE VALLES, 13"
"ESTACION DE SERVICIO","TERUEL","POLIGONO LA UMBRIA, PARCELAS 27,28,29, 27,28,29"
"GASOLEOS TERUEL","TERUEL","CALLE POLIGONO AGROINDUSTRIAL, LOTES B1-B9, 1"
"RIO PANCRUDO","TERUEL","CARRETERA VIVEL DEL RIO KM. 18"
"EL PERILLAN","TERUEL","C/ FRANCISCO FUERTES S/N"
"CEREALES TERUEL","TERUEL","CAMINO POZUEL, S/N"
"GASOLINERA JILOCA","TERUEL","CARRETERA N-234 KM. 190"
"LA CALANDINA","TERUEL","ALCOLEA-TARRAGONA S/N"
"SAN MIGUEL","TERUEL","CAMINO CALABAZAR 9"
"CEREALES TERUEL","TERUEL","CALLE MAYOR, S/N"
"CEREALES TERUEL","TERUEL","CALLE DEL, 1"
"CEPSA","TERUEL","AUTOVIA A-23 KM. 176"
"BIOTERUEL S.L.","TERUEL","POLIGONO INDUSTRIAL ""PORTAL DEL MAESTRAZGO"", 5"
"SANICOOP","TERUEL","CALLE MAYOR ALTA, 80"
"SUBIGAS","TERUEL","POLIGONO LAS HAZAS, 5"
"GASOLEOS TERUEL","TERUEL","POLIGONO CAMPICHUELO, S/N"
"COOP. CODOÑERA","TERUEL","AVDA. ISIDORO CELMA, I"
"GASOLEOS TERUEL","TERUEL","CALLE PEIRON, S/N"
"REPSOL","TERUEL","AUTOVIA A-23 KM. 202"
"CEREALES TERUEL S.COOP.","TERUEL","POLIGONO 13 PARCELA 66, S/N"
"CEREALES TERUEL","TERUEL","CALLE SAN ROQUE, 21"
"SANBRAULIO","TERUEL","CARRETERA CASTELLON km 164"
"CEREALES TERUEL","TERUEL","CALLE MAYOR, S/N"
"CEREALES TERUEL","TERUEL","CALLE ALTA, 1"
"COOP.SAN ANTONIO","TERUEL","CARRETERA DE CALANDA, S/N"
"NINGUNO","TERUEL","C/REHUERTA S/N"
"CEREALES TERUEL","TERUEL","CALLE MAYOR, S/N"
"FYCASA LOGISTICA S.L.","TERUEL","POLIGONO EL TOLLO PARCELA, 2/31"
"GASOLEOS TERUEL","TERUEL","ERAS DEL MAJUELO S/N"
"REPSOL","TERUEL","AUTOVIA MUDEJAR KM. 165"
"REPSOL","TERUEL","TRAVESÍA N232A,"
"COOPERATIVA","TERUEL","CALLE LA FUENTE, 55"
"GASOLEOS TERUEL","TERUEL","PARCELA LA VARIANTE S/N km 64510"
"COOP ODON","TERUEL","CALLE ITALIA, 1"
"CEREALES TERUEL","TERUEL","C/ MAYOR"
"CEREALES TERUEL","TERUEL","C/ MAYOR"
"COOP. PANCRUDO","TERUEL","C/ MAYOR 1"
"SAT. SAN FABIAN","TERUEL","CARRETERA A-2413 KM. 1,825"
"GALP","TERUEL","N-420 km 617.0"
"CEREALES TERUEL","TERUEL","CALLE MAYOR, 30"
"GASOLEOS TERUEL","TERUEL","POLIGONO EL PEIRON, PARCELA A-1, 1"
"CEREALES TERUEL","TERUEL","CALLE HERRERIA, S/N"
"SERAGAS","TERUEL","CALLE OLIVARETS, S/N"
"REPSOL","TERUEL","CARRETERA N-232    P.KM. 170.2 KM."
"PETROTER","TERUEL","POLIGONO INDUSTRIAL VENTA DEL BARRO PARCELA C1,"
"CEPSA","TERUEL","AUTOVIA A-23 KM. 100"
"REPSOL","TERUEL","CARRETERA SAGUNTO A BURGOS KM. 150"
"REPSOL","TERUEL","CARRETERA N. 234 KM. 83"
"GASEXPRESS","TERUEL","CARRETERA SAN JULIÁN KM. 83"
"GASOLEOS TERUEL","TERUEL","POLIGONO POLIGONO INDUSTRIAL LA PAZ, 18"
"CEREALES TERUEL","TERUEL","CALLE MAYOR, S/N"
"CEREALES TERUEL","TERUEL","CALLE LARGA, 2"
"COTRATUR","TERUEL","C/ POL.LA PAZ CALLE B PARCELA 122"
"S.COOP.V.OLMOS","TERUEL","CAMINO LA VIRGEN, S/N"
"CEREALES TERUEL","TERUEL","C/ EL HORNO"
"COOPERATIVA DEL CAMPO SAN ANTONIO ABAD","TERUEL","CARRETERA CA-2407 km 6,200"
"CEREALES TERUEL","TERUEL","C/ LA PEÑA"
"CEREALES TERUEL","TERUEL","CARRETERA CARRETERA TORRIJO KM. 0,5"
"SCOAVAL","TERUEL","CALLE BEATO MARTINEZ PASCUAL S/Nº"
"SERSUCO S. COOP.","TERUEL","POLIGONO INDUSTRIAL TORRE SANCHO, S/N"
"GASOLEOS SERSUCO","TERUEL","CARRETERA A2412 KM. 23"
"COOP. SAN MIGUEL","TERUEL","POLIGONO INDUSTRIAL PLANAS, P 10 (VALDERROBRES-ALCAÑIZ)"
"VALCARCE","TERUEL","AUTOVIA A-23 KM. 160"
"CEREALES TERUEL","TERUEL","PARTIDA TRASCASA, POLIGONO 6"
"GASOLEOS TERUEL","TERUEL","CALLE LARGA, 2"
"CEREALES TERUEL","TERUEL","CAMINO RIO, 1"
"CEREALES TERUEL","TERUEL","CARRERA DE MONREAL A ALIAGA, S/N"
"GASOLEOS DEGAS","TOLEDO","POLIGONO RIO GUADALQUIVIR, 20"
"COOP. NTRA.SRA.DEL CAMPO","TOLEDO","RONDA DEL RIVERO, 6"
"PETROLIVA","TOLEDO","CARRETERA TOLEDO KM. 21"
"COOPERATIVA STMO. CRISTO DE LA PIEDAD","TOLEDO","CALLE LOS MOLINOS,"
"COOP. LA SAGRA","TOLEDO","CERRO DE LA VEGA, S/N."
"CARBURANTES ARGÉS, S.L.","TOLEDO","AUTOVIA DEL MORO KM. 6"
"PETROJARA","TOLEDO","PASEO LOS OLIVAREROS, 1"
"REPSOL","TOLEDO","AUTOVIA A42 (ENLACE CTRA TO-2516, PK 0,50) KM. 55"
"COOP. SAN ANTONIO DE PADUA","TOLEDO","DIAZ CORDOBES, S/N."
"GALP","TOLEDO","Ctra. N-V km 137,300"
"REPSOL","TOLEDO","CARRETERA A-5 KM. 162"
"AGUDO GASOLEOS","TOLEDO","CALLE REAL, 92"
"PETRODOS","TOLEDO","CARRETERA TOLEDO VALMOJADO KM. 24,6"
"REPSOL","TOLEDO","CR A-4, 129,6"
"COOP. LA FE","TOLEDO","CERRILLO DE LA SUELA, 46"
"FARRUCO S.A.","TOLEDO","CM-4000 km P.K.39,2"
"GALP","TOLEDO","CARRERA CARRETERA DE CRIÑON, S/N"
"PETROCASARRUBIOS","TOLEDO","PASEO ERMITA, 5"
"REPSOL","TOLEDO","A-5 km 47,7"
"SHELL","TOLEDO","CARRETERA N-V KM. 40"
"GALP","TOLEDO","CARRETERA TO-9312 KM. 0,8"
"REPSOL","TOLEDO","CR A-5, 104,3"
"CEPSA","TOLEDO","CARRETERA CM-4004 KM. 17,50"
"PUNTO AZUL 24H","TOLEDO","CALLE LA INDUSTRIA, S/N"
"PETRODOS","TOLEDO","CALLE SAN SEBASTIAN, S/N."
"E.S. EL DESVIO","TOLEDO","CARRETERA TOLEDO-ALCAZAR KM. 0,5"
"ABOX-OIL","TOLEDO","CALLE INDUSTRIAS, 22"
"COOP. EL AMARGUILLO","TOLEDO","CTRA. DE LOS YEBENES, 24,8"
"COOP. NTRA.SRA.DE LA MUELA","TOLEDO","CALLE REAL, 16"
"COOP. NTRA.SRA. DE LA PAZ","TOLEDO","CALLE DESVIACION, S/N."
"CEPSA","TOLEDO","AUTOPISTA AP-36 (MRG.DCHO.) KM. 34"
"PETROLEOS PEÑAFLOR","TOLEDO","CARRETERA GALVEZ A CUERVA KM. 5"
"COOP. SANTO TOMAS CANTUARIENSE","TOLEDO","CALLE NOBLEJAS, 9"
"PETROALBERCHE, S COOP DE CLM","TOLEDO","BARRIO ORTIZ DE ZARATE, S/N."
"FARRUCO S.A.","TOLEDO","CN-403 km P.K. 52"
"FARRUCO S.A.","TOLEDO","CM-4009 km P.K.23,8"
"COOP. NTRA.SRA. PIEDRAESCRITA","TOLEDO","CAMINO DEHESILLA, S/N"
"EL QUIJOTE","TOLEDO","CALLE SAGRA ALTA, 1"
"PETROLEOS DE FUENSALIDA","TOLEDO","AVDA. DE SANTIAGO, 111"
"FARRUCO S.A.","TOLEDO","CALLE RAMON Y CAJAL, 46"
"REPSOL","TOLEDO","CARRETERA TORRIJOS KM. 26"
"COOP. NTRA.SRA. SOLEDAD","TOLEDO","AVENIDA SANTIAGO, 45"
"PETROLEOS DE GALVEZ","TOLEDO","CAMINO LA PUEBLA, S/N"
"PRADOGAS, S.COOP. DE C-LM","TOLEDO","CALLE CAMINO DE LA FABRICA, S/N"
"CEPSA","TOLEDO","AUTOVIA N-IV KM. 83,300"
"BP","TOLEDO","CARRETERA N IV KM. 81,400"
"REPSOL","TOLEDO","AUTOVIA A-4 KM. 84,700"
"SAN ILDEFONSO, S.COOP. DE C-LM","TOLEDO","CALLE QUEIPO DE LLANO, 1"
"COMBUSTIBLES HUERTA","TOLEDO","CARRETERA CM 4051 POLIGONO 5 PARCELA 122 KM. 15"
"BALLENOIL","TOLEDO","AVENIDA COMERCIO, 49"
"BP ILLESCAS","TOLEDO","CARRETERA CM-4010 KM. 2"
"BALLENOIL","TOLEDO","CALLE TILO, 54"
"LILLO SUMINISTROS","TOLEDO","CARRETERA VILLA DE D. FADRIQUE KM. 13"
"CABEZA DEL CONDE","TOLEDO","CTRA. ANTIGUA N-IV, KM. 118"
"E.S. ABOX-OIL","TOLEDO","CALLE CARRETERA DE VILLACAÑAS, 14"
"SANTA ANA","TOLEDO","AUTOVIA A-4 KM. 112,8"
"REPSOL","TOLEDO","CR A-4, 106,9"
"REPSOL","TOLEDO","AUTOVIA NACIONAL IV KM. 113"
"MAZARANOIL","TOLEDO","CARRETERA NAVAHERMOSA KM. 42,3"
"COOP. VALLE DE MENA","TOLEDO","CTRA. SAN PABLO DE LOS MONTES, 2"
"COOP. NTRA.SRA. DE LA SALUD","TOLEDO","CARRETERA SAN PABLO DE LOS MONTES KM. 1,5"
"COOP. FUENTE DE BARTOLO","TOLEDO","CTRA. DE CUERVA, S/N."
"REPSOL","TOLEDO","CARRETERA CM-610 KM. 6,700"
"PETROMENTRIDA","TOLEDO","CALLE SAN ROQUE, 1"
"NINGUNO","TOLEDO","CARRETERA QUINTANAR-ALCAZAR KM. 7600"
"COOP. SAN ISIDRO DE MIGUEL ESTEBAN","TOLEDO","CALLE CHARCO, 69"
"ECOSUMINISTROS","TOLEDO","POLIGONO SECTOR TOLEDOI PARCELA 7, 1"
"COOP. AMARTAJO","TOLEDO","CARRETERA TOLEDO -CUESTA LA REINA KM. 10,200"
"ACEVIN","TOLEDO","CARRETERA TEMBLEQUE KM. S/N"
